"x","y","planet_name"
560647033.318495,-576513733.966556,"jupiter"
604854535.340377,-533228664.823096,"jupiter"
645479148.384761,-486572352.376668,"jupiter"
682264030.568048,-436839772.856517,"jupiter"
714976616.021426,-384345351.642801,"jupiter"
743410085.247167,-329420975.368092,"jupiter"
767384672.698083,-272413893.623234,"jupiter"
786748803.3132,-213684523.533623,"jupiter"
801380050.824086,-153604171.086096,"jupiter"
811185911.773145,-92552683.6129351,"jupiter"
816104390.35026,-30916048.2747287,"jupiter"
816104390.35026,30916048.274729,"jupiter"
811185911.773145,92552683.6129354,"jupiter"
801380050.824085,153604171.086097,"jupiter"
786748803.3132,213684523.533623,"jupiter"
767384672.698083,272413893.623234,"jupiter"
743410085.247166,329420975.368092,"jupiter"
714976616.021426,384345351.642801,"jupiter"
682264030.568048,436839772.856518,"jupiter"
645479148.38476,486572352.376668,"jupiter"
604854535.340377,533228664.823097,"jupiter"
560647033.318495,576513733.966556,"jupiter"
513136136.380414,616153897.663401,"jupiter"
462622223.713688,651898538.035774,"jupiter"
409424660.538192,683521665.958514,"jupiter"
353879778.976372,710823349.835179,"jupiter"
296338751.653283,733630979.62996,"jupiter"
237165371.47018,751800358.163906,"jupiter"
176733751.58867,765216612.775923,"jupiter"
115425960.166849,773794921.584711,"jupiter"
53629604.8013938,777481049.760019,"jupiter"
-8264618.05246678,776251692.412698,"jupiter"
-69865393.1897292,770114621.935715,"jupiter"
-130783260.676337,759108638.86458,"jupiter"
-190633078.140275,743303326.567873,"jupiter"
-249036455.765657,722798611.31878,"jupiter"
-305624148.594963,697724130.529021,"jupiter"
-360038391.014551,668238413.139395,"jupiter"
-411935158.66406,634527877.348773,"jupiter"
-460986343.469175,596805652.018226,"jupiter"
-506881828.046518,555310229.20174,"jupiter"
-549331446.365593,510303956.32267,"jupiter"
-588066818.27186,462071377.528851,"jupiter"
-622843046.272473,410917434.712893,"jupiter"
-653440263.857092,357165539.571344,"jupiter"
-679665025.56474,301155528.891818,"jupiter"
-701351530.0083,243241515.995409,"jupiter"
-718362668.124262,183789651.91826,"jupiter"
-730590890.020371,123175810.486816,"jupiter"
-737958884.940672,61783211.9224837,"jupiter"
-740420070.049,9.52327925866411e-08,"jupiter"
-1351818790.057,-1.75271368564308e-07,"saturn"
-1347287170.94974,-113709026.206499,"saturn"
-1333720963.98299,-226699147.338357,"saturn"
-1311205939.08513,-338256003.470279,"saturn"
-1279884443.49273,-447674296.239771,"saturn"
-1239954501.78553,-554262247.970469,"saturn"
-1191668563.91126,-657345975.313344,"saturn"
-1135331909.11583,-756273749.754206,"saturn"
-1071300715.8696,-850420118.051202,"saturn"
-999979809.992427,-939189856.551596,"saturn"
-921820105.214508,-1022021734.38734,"saturn"
-837315752.354575,-1098392061.75733,"saturn"
-747001015.139327,-1167818000.86293,"saturn"
-651446892.416129,-1229860618.564,"saturn"
-551257508.114456,-1284127661.45554,"saturn"
-447066291.779901,-1330276035.81999,"saturn"
-339531973.82864,-1368013976.7762,"saturn"
-229334420.84165,-1397102892.91094,"saturn"
-117170337.229289,-1417358874.73063,"saturn"
-3748860.44169177,-1428653857.39638,"saturn"
110212922.426508,-1430916430.39111,"saturn"
223994508.291674,-1424132288.99988,"saturn"
336876533.333639,-1408344324.74885,"saturn"
448145321.045394,-1383652354.23128,"saturn"
557097394.325746,-1350212488.03487,"saturn"
663043923.088051,-1308236143.76036,"saturn"
765315079.265807,-1257988709.37142,"saturn"
863264271.681349,-1199787865.32644,"saturn"
956272234.003467,-1134001576.10044,"saturn"
1043750939.94853,-1061045763.79515,"saturn"
1125147320.97198,-981381678.545601,"saturn"
1199946762.94575,-895512982.34823,"saturn"
1267676359.71445,-803982564.747594,"saturn"
1327907902.96037,-707369110.513868,"saturn"
1380260589.47434,-606283441.011411,"saturn"
1424403428.71617,-501364652.389431,"saturn"
1460057335.44349,-393276075.010363,"saturn"
1486996894.17845,-282701079.661743,"saturn"
1505051784.35699,-170338757.066062,"saturn"
1514107857.15025,-56899498.0041364,"saturn"
1514107857.15025,56899498.004137,"saturn"
1505051784.35699,170338757.066063,"saturn"
1486996894.17845,282701079.661743,"saturn"
1460057335.44349,393276075.010363,"saturn"
1424403428.71617,501364652.389432,"saturn"
1380260589.47434,606283441.011411,"saturn"
1327907902.96037,707369110.513869,"saturn"
1267676359.71445,803982564.747595,"saturn"
1199946762.94575,895512982.348231,"saturn"
1125147320.97198,981381678.545602,"saturn"
1043750939.94853,1061045763.79515,"saturn"
956272234.003467,1134001576.10044,"saturn"
863264271.681348,1199787865.32644,"saturn"
765315079.265806,1257988709.37142,"saturn"
663043923.088051,1308236143.76036,"saturn"
557097394.325745,1350212488.03487,"saturn"
448145321.045394,1383652354.23128,"saturn"
336876533.333638,1408344324.74885,"saturn"
223994508.291673,1424132288.99988,"saturn"
110212922.426508,1430916430.39111,"saturn"
-3748860.4416921,1428653857.39638,"saturn"
-117170337.22929,1417358874.73063,"saturn"
-229334420.841651,1397102892.91094,"saturn"
-339531973.82864,1368013976.7762,"saturn"
-447066291.779901,1330276035.81999,"saturn"
-551257508.114457,1284127661.45554,"saturn"
-651446892.416129,1229860618.564,"saturn"
-747001015.139327,1167818000.86293,"saturn"
-837315752.354576,1098392061.75733,"saturn"
-921820105.214509,1022021734.38734,"saturn"
-999979809.992428,939189856.551595,"saturn"
-1071300715.8696,850420118.051201,"saturn"
-1135331909.11583,756273749.754205,"saturn"
-1191668563.91126,657345975.313344,"saturn"
-1239954501.78553,554262247.970468,"saturn"
-1279884443.49273,447674296.239769,"saturn"
-1311205939.08513,338256003.470279,"saturn"
-1333720963.98299,226699147.338356,"saturn"
-1347287170.94974,113709026.206499,"saturn"
-1351818790.057,1.75271368564308e-07,"saturn"
-2740326840.046,-3.5140251953888e-07,"uranus"
-2731246531.56215,-227975844.717705,"uranus"
-2704063014.74444,-454510352.743584,"uranus"
-2658948152.53848,-678171299.980442,"uranus"
-2596187175.62879,-897544629.907599,"uranus"
-2516176879.11858,-1111243393.70149,"uranus"
-2419423113.86337,-1317916518.97269,"uranus"
-2306537588.31896,-1516257351.68055,"uranus"
-2178234001.12366,-1705011917.2208,"uranus"
-2035323528.86571,-1882986848.45665,"uranus"
-1878709697.56369,-2049056930.57013,"uranus"
-1709382670.28415,-2202172215.03245,"uranus"
-1528412987.01187,-2341364657.7166,"uranus"
-1336944796.35142,-2465754239.18406,"uranus"
-1136188621.85128,-2574554528.45101,"uranus"
-927413708.684231,-2667077655.0582,"uranus"
-711939999.070704,-2742738658.00951,"uranus"
-491129787.179074,-2801059184.08364,"uranus"
-266379106.263318,-2841670512.13726,"uranus"
-39108902.4913006,-2864315884.27877,"uranus"
189243948.734408,-2868852129.17435,"uranus"
417235727.165451,-2855250567.22321,"uranus"
643424995.371937,-2823597191.87933,"uranus"
866381711.973967,-2774092125.97309,"uranus"
1084696272.82367,-2707048356.47031,"uranus"
1296988422.97649,-2622889755.66792,"uranus"
1501915983.10733,-2522148401.33679,"uranus"
1698183335.20038,-2405461212.75475,"uranus"
1884549613.86339,-2273565923.89787,"uranus"
2059836551.4782,-2127296419.2487,"uranus"
2222935927.58796,-1967577461.71011,"uranus"
2372816575.4237,-1795418845.95649,"uranus"
2508530901.27263,-1611909014.18663,"uranus"
2629220875.47072,-1418208174.64175,"uranus"
2734123457.14247,-1215540966.39545,"uranus"
2822575418.39099,-1005188716.79112,"uranus"
2894017537.43834,-788481340.478021,"uranus"
2947998134.20565,-566788931.262603,"uranus"
2984175925.97997,-341513099.934365,"uranus"
3002322185.11354,-114078112.83116,"uranus"
3002322185.11354,114078112.831161,"uranus"
2984175925.97997,341513099.934366,"uranus"
2947998134.20565,566788931.262604,"uranus"
2894017537.43834,788481340.478023,"uranus"
2822575418.39099,1005188716.79112,"uranus"
2734123457.14247,1215540966.39545,"uranus"
2629220875.47072,1418208174.64176,"uranus"
2508530901.27263,1611909014.18663,"uranus"
2372816575.42369,1795418845.95649,"uranus"
2222935927.58796,1967577461.71012,"uranus"
2059836551.4782,2127296419.2487,"uranus"
1884549613.86339,2273565923.89787,"uranus"
1698183335.20037,2405461212.75475,"uranus"
1501915983.10733,2522148401.33679,"uranus"
1296988422.97649,2622889755.66792,"uranus"
1084696272.82367,2707048356.47031,"uranus"
866381711.973966,2774092125.97309,"uranus"
643424995.371935,2823597191.87933,"uranus"
417235727.165449,2855250567.22321,"uranus"
189243948.734408,2868852129.17435,"uranus"
-39108902.4913012,2864315884.27877,"uranus"
-266379106.26332,2841670512.13726,"uranus"
-491129787.179076,2801059184.08364,"uranus"
-711939999.070704,2742738658.00951,"uranus"
-927413708.684232,2667077655.0582,"uranus"
-1136188621.85128,2574554528.45101,"uranus"
-1336944796.35142,2465754239.18406,"uranus"
-1528412987.01187,2341364657.7166,"uranus"
-1709382670.28415,2202172215.03244,"uranus"
-1878709697.56369,2049056930.57013,"uranus"
-2035323528.86571,1882986848.45665,"uranus"
-2178234001.12366,1705011917.2208,"uranus"
-2306537588.31896,1516257351.68055,"uranus"
-2419423113.86337,1317916518.97269,"uranus"
-2516176879.11859,1111243393.70149,"uranus"
-2596187175.62879,897544629.907596,"uranus"
-2658948152.53848,678171299.980442,"uranus"
-2704063014.74444,454510352.743582,"uranus"
-2731246531.56215,227975844.717704,"uranus"
-2740326840.046,3.5140251953888e-07,"uranus"
-4445614340.011,-5.50452778681923e-07,"neptune"
-4431404731.7124,-357111660.331549,"neptune"
-4388865744.53533,-711965545.767026,"neptune"
-4318266323.65305,-1062318155.79018,"neptune"
-4220052821.33529,-1405954448.39721,"neptune"
